Contract ID,Period,Period_End_Date,Salary,Benefits,Actual_Working_Days,Missed_Days
C0001,2024-01,31-01-2024,5567.43,52.78,22,1
C0001,2024-02,29-02-2024,4914.84,26.28,17,4
C0001,2024-03,31-03-2024,4914.84,40.39,20,1
C0001,2024-04,30-04-2024,5795.3,28.66,22,0
C0001,2024-05,31-05-2024,3374.2,63.09,14,9
C0001,2024-06,30-06-2024,4589.87,97.47,18,2
C0001,2024-07,31-07-2024,6097.66,31.7,23,0
C0001,2024-08,31-08-2024,4926.01,42.01,22,0
C0001,2024-09,30-09-2024,4669.1,84.07,19,2
C0001,2024-10,31-10-2024,4989.0,28.46,23,0
C0001,2024-11,30-11-2024,5782.16,66.47,20,1
C0001,2024-12,31-12-2024,4504.52,50.32,18,4
C0002,2024-01,31-01-2024,3347.97,495.8,22,1
C0002,2024-02,29-02-2024,2680.13,633.91,19,2
C0002,2024-03,31-03-2024,2522.48,1003.38,19,2
C0002,2024-04,30-04-2024,2993.93,351.87,22,0
C0002,2024-05,31-05-2024,2863.76,666.69,23,0
C0002,2024-06,30-06-2024,2634.66,872.94,18,2
C0002,2024-07,31-07-2024,2365.72,1247.41,18,5
C0002,2024-08,31-08-2024,2872.96,852.04,20,2
C0002,2024-09,30-09-2024,2987.14,801.73,18,3
C0002,2024-10,31-10-2024,2386.47,379.08,15,8
C0002,2024-11,30-11-2024,2115.89,537.37,15,6
C0002,2024-12,31-12-2024,2857.84,789.62,21,1
C0003,2024-01,31-01-2024,3949.97,769.36,23,0
C0003,2024-02,29-02-2024,3923.95,700.83,20,1
C0003,2024-03,31-03-2024,3541.36,645.79,19,2
C0003,2024-04,30-04-2024,3575.34,241.58,20,2
C0003,2024-05,31-05-2024,4138.07,565.65,23,0
C0003,2024-06,30-06-2024,3904.36,681.1,19,1
C0003,2024-07,31-07-2024,2796.87,734.17,18,5
C0003,2024-08,31-08-2024,3932.87,434.67,20,2
C0003,2024-09,30-09-2024,3139.16,448.2,20,1
C0003,2024-10,31-10-2024,4138.07,411.9,22,1
C0003,2024-11,30-11-2024,3727.75,288.86,20,1
C0003,2024-12,31-12-2024,3941.81,655.27,21,1
C0004,2024-01,31-01-2024,2738.12,375.53,19,4
C0004,2024-02,29-02-2024,3111.63,327.91,20,1
C0004,2024-03,31-03-2024,3630.24,347.27,21,0
C0004,2024-04,30-04-2024,2976.94,342.73,21,1
