Contract ID,Period,Period_End_Date,Salary,Benefits,Actual_Working_Days,Missed_Days
C0001,2024-01,31-01-2024,7226.96,1895.09,21,2
C0001,2024-02,29-02-2024,7565.09,2182.53,20,1
C0001,2024-03,31-03-2024,7953.6,1814.06,21,0
C0001,2024-04,30-04-2024,7592.64,1762.84,21,1
C0001,2024-05,31-05-2024,7975.3,1824.9,23,0
C0001,2024-06,30-06-2024,8018.94,1698.14,20,0
C0001,2024-07,31-07-2024,8089.58,1569.92,23,0
C0001,2024-08,31-08-2024,8133.12,1769.41,22,0
C0001,2024-09,30-09-2024,7405.1,1819.48,19,2
C0001,2024-10,31-10-2024,8316.8,1895.13,23,0
C0001,2024-11,30-11-2024,7527.43,1748.86,19,2
C0001,2024-12,31-12-2024,8345.71,1722.28,22,0
C0002,2024-01,31-01-2024,2998.0,309.39,23,0
C0002,2024-02,29-02-2024,2860.51,253.12,20,1
C0002,2024-03,31-03-2024,2882.05,322.91,20,1
C0002,2024-04,30-04-2024,2911.12,266.73,21,1
C0002,2024-05,31-05-2024,3051.27,294.09,23,0
C0002,2024-06,30-06-2024,2775.32,315.25,18,2
C0002,2024-07,31-07-2024,3085.86,252.83,23,0
C0002,2024-08,31-08-2024,3103.48,306.16,22,0
C0002,2024-09,30-09-2024,3108.58,286.98,21,0
C0002,2024-10,31-10-2024,3120.56,265.48,23,0
C0002,2024-11,30-11-2024,2691.52,305.48,18,3
C0002,2024-12,31-12-2024,3178.32,257.12,22,0
C0003,2024-01,31-01-2024,3666.0,629.09,23,0
C0003,2024-02,29-02-2024,3173.25,643.73,18,3
C0003,2024-03,31-03-2024,3704.5,698.32,21,0
C0003,2024-04,30-04-2024,3715.45,485.01,22,0
C0003,2024-05,31-05-2024,3719.01,660.77,23,0
C0003,2024-06,30-06-2024,3721.2,562.58,20,0
C0003,2024-07,31-07-2024,2921.41,653.5,18,5
C0003,2024-08,31-08-2024,3758.92,697.28,22,0
C0003,2024-09,30-09-2024,3593.61,522.97,20,1
C0003,2024-10,31-10-2024,3620.58,558.15,22,1
C0003,2024-11,30-11-2024,3076.89,492.54,17,4
C0003,2024-12,31-12-2024,3637.95,486.77,21,1
C0004,2024-01,31-01-2024,2193.82,269.89,23,0
C0004,2024-02,29-02-2024,1797.32,239.71,17,4
C0004,2024-03,31-03-2024,2123.36,220.62,20,1
C0004,2024-04,30-04-2024,2146.75,193.32,21,1
C0004,2024-05,31-05-2024,2279.03,201.8,23,0
C0004,2024-06,30-06-2024,2280.69,265.79,20,0
C0004,2024-07,31-07-2024,2287.98,232.24,23,0
C0004,2024-08,31-08-2024,2290.09,192.79,22,0
C0004,2024-09,30-09-2024,2293.09,255.9,21,0
C0004,2024-10,31-10-2024,2316.4,212.88,23,0
C0004,2024-11,30-11-2024,2213.86,239.49,20,1
C0004,2024-12,31-12-2024,2008.81,236.1,19,3
C0005,2024-01,31-01-2024,2657.65,250.33,23,0
C0005,2024-02,29-02-2024,2281.39,280.43,18,3
C0005,2024-03,31-03-2024,2677.82,212.4,21,0
C0005,2024-04,30-04-2024,2685.83,273.86,22,0
C0005,2024-05,31-05-2024,2714.49,203.98,23,0
C0005,2024-06,30-06-2024,2725.43,210.38,20,0
C0005,2024-07,31-07-2024,2742.55,239.31,23,0
C0005,2024-08,31-08-2024,2754.06,197.55,22,0
C0005,2024-09,30-09-2024,2768.5,203.99,21,0
C0005,2024-10,31-10-2024,2772.23,270.42,23,0
C0005,2024-11,30-11-2024,2641.55,238.73,20,1
C0005,2024-12,31-12-2024,2789.04,247.41,22,0
C0006,2024-01,31-01-2024,1979.12,279.84,19,4
C0006,2024-02,29-02-2024,2403.33,251.23,21,0
C0006,2024-03,31-03-2024,2403.75,294.51,21,0
C0006,2024-04,30-04-2024,2296.54,356.1,21,1
C0006,2024-05,31-05-2024,2407.86,278.46,23,0
C0006,2024-06,30-06-2024,2422.16,264.79,20,0
C0007,2024-01,31-01-2024,8899.86,1193.2,22,1
C0007,2024-02,29-02-2024,7555.48,1548.97,17,4
C0008,2024-01,31-01-2024,3865.58,242.08,21,2
C0008,2024-02,29-02-2024,3833.86,309.24,19,2
C0008,2024-03,31-03-2024,3838.22,295.71,19,2
C0008,2024-04,30-04-2024,3863.64,274.22,20,2
C0008,2024-05,31-05-2024,4275.12,252.41,23,0
C0008,2024-06,30-06-2024,4309.81,300.24,20,0
C0008,2024-07,31-07-2024,4314.64,353.12,23,0
C0008,2024-08,31-08-2024,3142.68,253.83,16,6
C0008,2024-09,30-09-2024,4373.96,253.1,21,0
C0008,2024-10,31-10-2024,4188.55,287.92,22,1
C0008,2024-11,30-11-2024,4395.19,320.1,21,0
C0008,2024-12,31-12-2024,4464.94,341.9,22,0
C0009,2024-01,31-01-2024,2575.96,422.21,23,0
C0009,2024-02,29-02-2024,2601.52,407.49,21,0
C0009,2024-03,31-03-2024,2646.15,299.04,21,0
C0009,2024-04,30-04-2024,2650.52,320.15,22,0
C0009,2024-05,31-05-2024,2555.84,415.7,22,1
C0009,2024-06,30-06-2024,2702.26,418.27,20,0
C0009,2024-07,31-07-2024,2473.85,382.67,21,2
C0009,2024-08,31-08-2024,2714.42,315.28,22,0
C0009,2024-09,30-09-2024,2717.63,300.31,21,0
C0009,2024-10,31-10-2024,2608.52,434.45,22,1
C0009,2024-11,30-11-2024,2217.95,298.68,17,4
C0009,2024-12,31-12-2024,2619.31,406.53,21,1
C0010,2024-01,31-01-2024,6175.39,683.61,21,2
C0010,2024-02,29-02-2024,6771.2,643.37,21,0
C0010,2024-03,31-03-2024,6902.22,607.25,21,0
C0010,2024-04,30-04-2024,6664.5,549.67,21,1
C0010,2024-05,31-05-2024,7036.28,690.86,23,0
C0010,2024-06,30-06-2024,6693.46,676.29,19,1
C0010,2024-07,31-07-2024,6765.3,626.98,22,1
C0010,2024-08,31-08-2024,6806.5,603.27,21,1
C0010,2024-09,30-09-2024,7182.19,498.1,21,0
C0010,2024-10,31-10-2024,6908.21,692.79,22,1
C0010,2024-11,30-11-2024,7382.42,570.29,21,0
C0010,2024-12,31-12-2024,7417.5,633.83,22,0
C0011,2024-01,31-01-2024,2337.63,234.78,23,0
C0011,2024-02,29-02-2024,2166.4,286.72,19,2
C0011,2024-03,31-03-2024,2412.78,268.69,21,0
C0011,2024-04,30-04-2024,2419.32,288.5,22,0
C0011,2024-05,31-05-2024,2424.38,263.54,23,0
C0011,2024-06,30-06-2024,2434.34,276.84,20,0
C0011,2024-07,31-07-2024,2434.42,280.17,23,0
C0011,2024-08,31-08-2024,2435.96,206.42,22,0
C0011,2024-09,30-09-2024,2440.85,247.88,21,0
C0011,2024-10,31-10-2024,2369.0,273.46,22,1
C0011,2024-11,30-11-2024,2482.48,296.32,21,0
C0011,2024-12,31-12-2024,2150.26,282.66,19,3
C0012,2024-01,31-01-2024,2598.81,134.01,20,3
C0012,2024-02,29-02-2024,2720.25,150.94,19,2
C0012,2024-03,31-03-2024,3091.83,157.43,21,0
C0012,2024-04,30-04-2024,3098.7,166.93,22,0
C0012,2024-05,31-05-2024,2964.66,180.66,22,1
C0012,2024-06,30-06-2024,3003.02,156.29,19,1
C0012,2024-07,31-07-2024,3191.4,179.79,23,0
C0012,2024-08,31-08-2024,3203.59,156.45,22,0
C0012,2024-09,30-09-2024,3207.87,163.79,21,0
C0012,2024-10,31-10-2024,3227.54,145.84,23,0
C0012,2024-11,30-11-2024,3151.57,182.53,20,1
C0012,2024-12,31-12-2024,3158.96,156.69,21,1
C0013,2024-01,31-01-2024,5530.6,614.68,20,3
C0013,2024-02,29-02-2024,5763.6,804.31,19,2
C0013,2024-03,31-03-2024,6379.8,766.79,21,0
C0013,2024-04,30-04-2024,6382.51,679.48,22,0
C0013,2024-05,31-05-2024,6142.62,670.42,22,1
C0014,2024-08,31-08-2024,5865.22,801.08,22,0
C0014,2024-09,30-09-2024,5341.2,715.43,19,2
C0014,2024-10,31-10-2024,5399.86,708.4,21,2
C0014,2024-11,30-11-2024,5918.26,753.53,21,0
C0014,2024-12,31-12-2024,5927.49,788.52,22,0
C0015,2024-01,31-01-2024,3206.54,241.3,21,2
C0015,2024-02,29-02-2024,3186.2,199.6,19,2
C0015,2024-03,31-03-2024,3537.36,245.47,21,0
C0016,2024-09,30-09-2024,3010.76,685.33,19,2
C0016,2024-10,31-10-2024,3194.08,542.27,22,1
C0016,2024-11,30-11-2024,3343.81,486.9,21,0
C0016,2024-12,31-12-2024,3357.12,702.03,22,0
C0017,2024-01,31-01-2024,1747.93,328.81,20,3
C0017,2024-02,29-02-2024,2034.21,351.37,21,0
C0017,2024-03,31-03-2024,2034.92,278.77,21,0
C0017,2024-04,30-04-2024,1852.62,279.08,20,2
C0017,2024-05,31-05-2024,2039.88,310.08,23,0
